代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399634,中小等权,2936.973,48.823,1.69,2888.15,2892.007,2941.569,2885.006,3149784278,56274474800
sz399635,创业板EW,1400.217,21.595,1.566,1378.622,1381.795,1404.989,1375.391,1458062494,55721949016
sz399636,深证装备,3959.835,81.331,2.097,3878.504,3891.026,3966.473,3878.356,2161597775,58190365653
sz399637,深证地产,1528.486,-6.108,-0.398,1534.594,1533.479,1539.469,1510.966,400028680,2327743640
sz399638,深证环保,4217.405,31.143,0.744,4186.262,4181.558,4249.255,4160.355,1164657204,24150501833
sz399639,深证大宗,1653.822,9.937,0.604,1643.885,1643.949,1654.789,1635.283,1887071741,18565016749
sz399640,创业基础,1731.647,24.442,1.432,1707.205,1711.272,1736.576,1701.693,8228978041,141938392143
sz399641,深证新兴,1829.885,24.082,1.334,1805.803,1809.247,1833.66,1800.327,6153628262,143598484392
sz399642,中小新兴,1534.494,27.398,1.818,1507.096,1509.631,1537.079,1507.657,3362680900,62176362150
sz399643,创业新兴,2156.494,24.68,1.158,2131.814,2136.618,2163.792,2121.352,1721934008,58064528387
sz399644,深证时钟,3255.825,3.411,0.105,3252.414,3251.407,3264.21,3222.453,2960531112,29475732753
sz399645,100低波,8393.843,46.777,0.56,8347.066,8345.597,8404.681,8313.761,1615554947,30278706752
sz399646,深消费50,7402.817,-11.444,-0.154,7414.261,7404.99,7438.374,7336.969,964906512,19362647025
sz399647,深医药50,8613.501,16.045,0.187,8597.456,8602.314,8674.837,8543.999,489418542,12800595186
sz399648,深证GDP,9256.566,100.285,1.095,9156.281,9160.919,9267.93,9126.468,4193163694,69180512977
sz399649,中小红利,2661.046,14.411,0.545,2646.635,2647.691,2663.19,2629.015,861265253,8767690670
sz399650,中小治理,1949.977,27.448,1.428,1922.529,1925.731,1951.617,1913.626,773466885,17331294751
sz399651,中小责任,1374.302,8.179,0.599,1366.123,1366.122,1375.892,1354.476,998537674,18229277455
sz399652,中创高新,2602.719,55.056,2.161,2547.663,2555.065,2613.025,2543.25,902645485,22469340350
sz399653,深证龙头,2193.335,5.744,0.263,2187.591,2188.299,2198.598,2165.909,2157529579,52143715680
sz399654,深证文化,2201.52,31.334,1.444,2170.186,2172.805,2208.211,2164.578,2329852134,24789899028
sz399655,深证绩效,9851.157,76.086,0.778,9775.071,9772.845,9874.682,9731.898,1171266273,31093745984
sz399656,100绩效,5244.139,32.425,0.622,5211.714,5213.547,5253.275,5187.514,3660388093,88968862929
sz399657,300绩效,5398.61,63.186,1.184,5335.424,5342.474,5408.767,5317.247,9192637340,172180438273
sz399658,中小绩效,3499.588,53.042,1.539,3446.546,3449.814,3505.442,3438.601,3149784278,56274474800
sz399659,深成指EW,3283.555,43.811,1.352,3239.744,3245.382,3290.565,3231.053,13210682880,217580907827
sz399660,中创EW,1800.381,25.485,1.436,1774.896,1777.748,1803.522,1771.821,2505155230,70665039426
sz399661,深证低波,5021.261,38.777,0.778,4982.484,4983.414,5025.264,4964.349,3509117458,33148786203
sz399662,深证高贝,1428.035,30.477,2.181,1397.558,1403.629,1431.857,1396.075,3559586045,107258405771
sz399663,中小低波,1623.459,12.159,0.755,1611.3,1610.986,1625.342,1602.859,1669935475,15252852911
sz399664,中小高贝,915.651,20.93,2.339,894.721,896.62,917.522,894.475,2598248996,54908716743
sz399665,中创低波,1747.728,14.078,0.812,1733.65,1733.699,1751.276,1724.678,3336743396,40972165605
sz399666,中创高贝,1218.009,32.035,2.701,1185.974,1190.373,1221.408,1187.728,4583745062,117339791417
sz399667,创业成长,2782.742,39.408,1.437,2743.334,2752.753,2791.807,2734.31,1266336824,43520609897
sz399668,创业板V,3297.49,33.425,1.024,3264.065,3268.031,3306.871,3244.302,1508019479,23426164370
sz399669,深证农业,8123.805,-27.878,-0.342,8151.683,8142.903,8190.23,8056.573,572640244,10161458577
sz399670,深周期50,2739.889,28.17,1.039,2711.719,2714.279,2744.596,2702.375,2275681762,41242486145
sz399671,深防御50,7070.588,48.107,0.685,7022.481,7039.265,7083.697,6967.081,975198957,34218214634
sz399672,深红利50,3946.802,26.313,0.671,3920.489,3920.086,3951.198,3913.01,763589180,7994005950
sz399673,创业板50,1725.223,19.992,1.172,1705.231,1709.811,1731.058,1696.12,1041332755,46813467585
sz399674,深A医药,1890.922,7.574,0.402,1883.348,1886.288,1901.01,1873.793,1601365640,24888846786
sz399675,深互联网,2468.853,43.188,1.78,2425.665,2432.827,2477.632,2410.957,3683064366,52338651066
sz399676,深医药EW,2853.39,28.969,1.026,2824.421,2830.525,2863.201,2817.662,1601365640,24888846786
sz399677,深互联EW,3650.71,72.13,2.016,3578.58,3584.868,3659.986,3559.883,3683064366,52338651066
sz399678,深次新股,490.658,3.352,0.688,487.306,486.814,491.975,482.387,448954187,12608312119
sz399679,深证200R,4069.788,72.37,1.81,3997.418,4007.331,4077.151,3992.174,5532249247,83211575344
sz399680,深成能源,786.396,-1.557,-0.198,787.953,787.791,789.296,774.336,201893707,1859581599
sz399681,深成材料,873.031,7.332,0.847,865.699,866.634,874.306,861.721,2307341331,22283192005
sz399682,深成工业,1176.238,12.446,1.069,1163.792,1163.96,1178.415,1159.855,1934369027,35691963793
sz399683,深成可选,1533.788,4.745,0.31,1529.043,1527.543,1536.295,1518.158,1295810967,15966450122
sz399684,深成消费,2061.852,-9.053,-0.437,2070.905,2068.621,2079.733,2043.535,397742732,8052269396
sz399685,深成医药,1805.999,2.522,0.14,1803.477,1805.13,1819.759,1791.643,558448124,14045512222
sz399686,深成金融,1543.829,0.682,0.044,1543.147,1542.207,1549.27,1532.505,1101129901,8505442319
sz399687,深成信息,2363.167,56.711,2.459,2306.456,2316.539,2369.32,2302.967,4038831780,78910373823
