序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
314,124,HSCAESL,恒生A股通ESG领先指数,4891.52,12.73,0.26,4869.21,4897.56,4838.64,4878.79,0.0,49477090816.0
315,124,HSCEA,恒生沪深港通中国企业指数,2885.24,7.5,0.26,2879.11,2904.34,2872.11,2877.74,0.0,76395225088.0
316,124,HSBART,恒生沪深港通大湾区区域龙头指数,3508.97,8.96,0.26,3501.28,3528.95,3492.85,3500.01,0.0,30015298816.0
317,124,HSCICO,恒生综合企业指数,1338.52,3.25,0.24,1322.61,1343.21,1322.61,1335.27,22366027.0,422514208.0
318,125,CES120,中华120,4952.24,11.93,0.24,4941.33,4987.34,4931.2,4940.31,0.0,121175928832.0
319,124,HSSCCS,恒生港股通必需性消费指数,1465.25,3.51,0.24,1461.89,1486.77,1461.89,1461.74,0.0,2075469104.0
320,124,HSSSHEC,恒生沪深港电子商贸指数,2515.66,5.67,0.23,2510.14,2535.51,2496.96,2509.99,0.0,14858470656.0
321,124,HSSSHAE,恒生沪深港智能及电动车指数,5528.82,11.27,0.2,5514.98,5564.31,5469.99,5517.55,0.0,21050625024.0
322,124,HSC80,恒生沪深港通中国80指数,3366.85,6.77,0.2,3355.52,3381.24,3348.04,3360.08,0.0,106078720000.0
323,124,HSBAPC,恒生沪深港通大湾区地产建筑指数,1809.59,3.61,0.2,1805.35,1825.02,1802.05,1805.98,0.0,5025267712.0
324,124,HSLVI,恒生低波幅指数,6088.4,11.76,0.19,6054.12,6118.57,6054.12,6076.64,2118314864.0,10849949440.0
325,124,HSSCLSI,恒生沪深港通中国低波幅智选指数,3958.2,6.69,0.17,3952.64,3973.27,3938.86,3951.51,0.0,142210375680.0
326,124,HSCAT100,恒生A股100强指数,7890.86,12.01,0.15,7870.81,7903.14,7829.61,7878.85,0.0,99440263168.0
327,125,H11144,HKT内地消费,924.96,1.17,0.13,922.4,939.13,922.4,923.79,4432495.0,13722151168.0
